번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
214,오목낚시터(신창낚시터),저수지,충남 아산시 신창면 서부남로675번길 48,,36.7955718,126.933069
215,송악 낚시터,저수지,충남 아산시 송악면 송악로 560,,36.7214327,126.9898213
216,산들 낚시터,저수지,충남 아산시 배방읍 고불로 229,,36.725676,127.0596219
217,냉정 낚시터,저수지,충남 아산시 인주면 서해로548번길 158,,36.868245,126.904669
218,월랑 낚시터,저수지,충남 아산시 음봉면 월랑길 15-10,,36.8436697,127.0804385
219,대동 낚시터,저수지,충남 아산시 음봉면 송촌리 34,,36.84784,127.046914
220,신수 낚시터,저수지,충남 아산시 음봉면 신수리 51-1,,36.843918,126.99831
221,염치 낚시터,저수지,충남 아산시 염치읍 동정길 159-4,,36.821763,126.993657
222,신휴 낚시터,저수지,충남 아산시 음봉면 신휴길122,,36.8910242,127.0704905
223,봉재 낚시터,저수지,충남 아산시 둔포면 충무로 1258-32,,36.883092,127.032207
224,안골 낚시터,저수지,충남 아산시 영인면 고룡산로 448,,36.8789658,126.9878422
225,죽산 낚시터,저수지,충남 아산시 선장면 서부남로 344,,36.7857711,126.8978959
226,영인 낚시터,저수지,충남 아산시 영인면 영인로 159-20,,36.8627459,126.9487696
227,잔실 낚시터,저수지,충남 아산시 음봉면 신정리 397,,36.8735582,127.0167286
228,삽교천 낚시터,기타,충남 아산시 인주면 아산만로1363,,36.8526333,126.8545664
229,동암 낚시터,기타,충남 아산시 음봉면 음봉로447번길 50,,36.8469204,127.0604064
230,낭만물고기실내낚시카페,기타,"충남 아산시 배방읍 배방로13번길 23, 2층",,36.775944,127.056904
231,아산락실내바다낚시터,기타,충남 아산시 염치읍 백암길 148-1,,36.8058557,127.0359602
232,서부낚시터,저수지,충청남도 서천군 종천면 대백제로 1458,,36.12103723,126.692348
233,배다리낚시터,저수지,충청남도 서천군 서면 주원로 10-3,,36.15600648,126.572178
234,창리해상낚시터,바다,충청남도 서산시 부석면 창리 지선,,36.369181,126.224581
235,덕송지낚시터,저수지,충청남도 서산시 팔봉면 덕송리 842-5,,36.835062,126.339584
236,대요낚시터,저수지,충청남도 서산시 지곡면 대요리 713,,36.886992,126.428141
237,계룡 낚시터,저수지,,충청남도 공주시 계룡면 하대리 485-1(계룡저수지),36.36086703,127.1576725
238,정안 낚시터,저수지,,충청남도 공주시 정안면 운궁리 327-4,36.5804523,127.110813
239,능애 낚시터,저수지,,충청남도 공주시 정안면 평정리 529-1(평정저수지),36.55407334,127.083822
240,월곡 낚시터,저수지,,충청남도 공주시 의당면 월곡리 4-3(월곡저수지),36.53973952,127.162541
241,경천 낚시터,저수지,,충청남도 공주시 계룡면 양화리(경천저수지),36.3339378,127.1718409
242,행복 낚시터,저수지,,충청남도 공주시 의당면 두만리 28(요룡저수지),36.54898473,127.1448196
243,우목 낚시터,저수지,,충청남도 공주시 우성면 용봉리 700(우목저수지),36.4405707,127.009396
244,중흥 낚시터,저수지,,충청남도 공주시 의당면 도신리 487(중흥저수지),36.57675859,127.1725335
245,고성 낚시터,저수지,,충청남도 공주시 정안면 고성리(고성저수지),36.58824678,127.0916593
246,명곡 낚시터,저수지,,충청남도 공주시 유구읍 명곡리 436-3(명곡저수지),36.59894926,126.9385268
247,큰목길낚시터,저수지,,충청남도 공주시 공주시 옥룡동 상왕통286,36.47066341,127.0771193
248,자연농원,저수지,,충청남도 공주시 공주시 정안면 광정리200-5,36.47066341,127.0771193
249,우성낚시터,저수지,,충청남도 공주시 공주시 우성면 상서리114-2,36.47066341,127.0771193
250,훼미리낚시터,저수지,,충청남도 공주시 공주시 상왕동 779-7,36.47066341,127.0771193
251,그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461
252,그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461
253,훼미리낚시터,저수지,,충청남도 공주시 공주시 상왕동 779-7,36.47066341,127.0771193
254,우성낚시터,저수지,,충청남도 공주시 공주시 우성면 상서리114-2,36.47066341,127.0771193
255,자연농원,저수지,,충청남도 공주시 공주시 정안면 광정리200-5,36.47066341,127.0771193
256,큰목길낚시터,저수지,,충청남도 공주시 공주시 옥룡동 상왕통286,36.47066341,127.0771193
257,명곡 낚시터,저수지,,충청남도 공주시 유구읍 명곡리 436-3(명곡저수지),36.59894926,126.9385268
258,고성 낚시터,저수지,,충청남도 공주시 정안면 고성리(고성저수지),36.58824678,127.0916593
259,중흥 낚시터,저수지,,충청남도 공주시 의당면 도신리 487(중흥저수지),36.57675859,127.1725335
260,우목 낚시터,저수지,,충청남도 공주시 우성면 용봉리 700(우목저수지),36.4405707,127.009396
261,행복 낚시터,저수지,,충청남도 공주시 의당면 두만리 28(요룡저수지),36.54898473,127.1448196
262,경천 낚시터,저수지,,충청남도 공주시 계룡면 양화리(경천저수지),36.3339378,127.1718409
263,월곡 낚시터,저수지,,충청남도 공주시 의당면 월곡리 4-3(월곡저수지),36.53973952,127.162541
264,능애 낚시터,저수지,,충청남도 공주시 정안면 평정리 529-1(평정저수지),36.55407334,127.083822
265,정안 낚시터,저수지,,충청남도 공주시 정안면 운궁리 327-4,36.5804523,127.110813
266,수신낚시터,저수지,"충청남도 천안시 동남구 수신면 발산1길 147-106, 수신낚시터",충청남도 천안시 동남구 수신면 발산리 449-2 수신낚시터,36.71158316,127.2940376
267,마정낚시터,저수지,충청남도 천안시 서북구 직산읍 금곡로 176,충청남도 천안시 서북구 직산읍 마정리 314,36.87443248,127.0999291
268,남창낚시터,저수지,"충청남도 천안시 서북구 성거읍 보명사길 62, 남창낚시터",충청남도 천안시 서북구 성거읍 송남리 산 46,36.86121783,127.1990668
269,무네미낚시터,저수지,충청남도 천안시 동남구 동면 장송죽계길 40,충청남도 천안시 동남구 동면 송연리42,36.78076246,127.3704271
270,부대낚시터,저수지,"충청남도 천안시 서북구 안터길 38-29, 부대동낚시터 (부대동)",충청남도 천안시 서북구 부대동 35-4 부대동낚시터,36.84090025,127.1590725
271,신월낚시터,저수지,"충청남도 천안시 서북구 성거읍 신월길 165-29, 신월낚시터",충청남도 천안시 서북구 성거읍 소우리 265-2,36.86809119,127.1646074
272,석곡낚시터,저수지,"충청남도 천안시 서북구 직산읍 부송로 43-38, 석곡낚시터",충청남도 천안시 서북구 직산읍 석곡리 5-4 석곡낚시터,36.89071113,127.1028245
273,덕성낚시터,저수지,충청남도 천안시 동남구 동면 덕성1길 52,충청남도 천안시 동남구 동면 덕성리 428-1,36.80984881,127.3697076
